ProductID,ProductName,Category,Sales,DateSold
237,Product_237,Food,2737.58,2024-03-05
491,Product_491,Toys,1510.5,2024-07-23
72,Product_72,Clothing,2107.54,2024-02-10
1777,Product_1777,Clothing,3478.88,2024-05-21
1043,Product_1043,Clothing,2283.76,2024-06-09
1463,Product_1463,Furniture,307.24,2024-07-28
1167,Product_1167,Electronics,984.93,2024-01-26
502,Product_502,Furniture,2166.38,2024-05-12
1829,Product_1829,Electronics,4228.74,2024-02-14
1284,Product_1284,Clothing,4432.22,2024-07-28
1030,Product_1030,Furniture,2794.93,2024-05-30
582,Product_582,Furniture,3186.08,2024-01-17
82,Product_82,Toys,4447.19,2024-07-13
159,Product_159,Food,1075.46,2024-07-12
1324,Product_1324,Food,4286.53,2024-03-22
1706,Product_1706,Toys,3127.92,2024-05-27
865,Product_865,Clothing,385.92,2024-08-07
1715,Product_1715,Furniture,793.26,2024-01-27
1078,Product_1078,Furniture,4239.34,2024-02-04
102,Product_102,Food,3744.27,2024-06-10
1163,Product_1163,Furniture,973.89,2024-06-16
743,Product_743,Toys,4918.25,2024-02-24
120,Product_120,Electronics,767.15,2024-03-04
1845,Product_1845,Clothing,1852.03,2024-05-17
1716,Product_1716,Clothing,3570.92,2024-08-01
1534,Product_1534,Toys,4902.59,2024-06-14
1541,Product_1541,Furniture,1325.48,2024-08-04
595,Product_595,Clothing,3947.24,2024-08-10
854,Product_854,Clothing,1561.71,2024-06-06
1536,Product_1536,Toys,702.91,2024-03-01
1257,Product_1257,Furniture,1491.8,2024-07-31
174,Product_174,Furniture,189.06,2024-05-07
709,Product_709,Furniture,1494.87,2024-05-21
1671,Product_1671,Electronics,1256.55,2024-04-17
1898,Product_1898,Electronics,742.31,2024-03-03
218,Product_218,Food,4157.34,2024-01-19
1663,Product_1663,Clothing,4873.2,2024-01-01
715,Product_715,Furniture,4628.1,2024-03-11
501,Product_501,Electronics,3536.67,2024-03-24
1558,Product_1558,Furniture,1962.11,2024-04-30
892,Product_892,Toys,4887.07,2024-04-05
1215,Product_1215,Toys,974.48,2024-03-23
896,Product_896,Food,3723.37,2024-01-12
1979,Product_1979,Toys,2211.47,2024-06-09
289,Product_289,Toys,2970.76,2024-08-11
1547,Product_1547,Food,4081.03,2024-07-24
1107,Product_1107,Clothing,2289.0,2024-03-17
1773,Product_1773,Food,4997.01,2024-06-06
1212,Product_1212,Toys,166.65,2024-08-12
982,Product_982,Toys,3703.01,2024-07-03
1095,Product_1095,Food,874.7,2024-03-01
779,Product_779,Food,2487.2,2024-05-29
1711,Product_1711,Toys,2140.26,2024-07-27
16,Product_16,Food,1567.72,2024-06-27
569,Product_569,Electronics,3996.98,2024-04-13
190,Product_190,Toys,1972.81,2024-03-12
1755,Product_1755,Food,4737.46,2024-03-16
1806,Product_1806,Food,1941.47,2024-02-05
744,Product_744,Electronics,3459.46,2024-01-12
509,Product_509,Electronics,844.63,2024-01-03
367,Product_367,Food,1492.5,2024-01-25
1461,Product_1461,Electronics,1356.68,2024-04-30
1387,Product_1387,Furniture,3372.89,2024-05-25
1760,Product_1760,Food,1053.06,2024-06-13
985,Product_985,Furniture,4331.92,2024-07-04
780,Product_780,Furniture,3372.38,2024-01-07
591,Product_591,Food,1777.93,2024-05-05
1613,Product_1613,Food,3484.05,2024-04-20
640,Product_640,Food,1360.21,2024-05-18
1623,Product_1623,Toys,2713.3,2024-04-16
259,Product_259,Toys,833.29,2024-04-15
797,Product_797,Toys,505.84,2024-05-19
1540,Product_1540,Food,4247.86,2024-05-09
441,Product_441,Food,601.45,2024-03-21
329,Product_329,Furniture,2706.97,2024-02-10
565,Product_565,Electronics,3384.15,2024-04-23
1196,Product_1196,Electronics,4873.71,2024-03-26
733,Product_733,Food,2949.11,2024-03-13
144,Product_144,Toys,4055.27,2024-01-26
255,Product_255,Food,1277.04,2024-01-31
446,Product_446,Toys,1937.97,2024-03-08
1740,Product_1740,Food,4565.75,2024-04-13
1645,Product_1645,Electronics,854.3,2024-04-24
527,Product_527,Toys,2206.74,2024-04-03
1102,Product_1102,Food,4597.63,2024-05-24
1055,Product_1055,Toys,3794.32,2024-03-02
882,Product_882,Electronics,3339.97,2024-05-18
937,Product_937,Furniture,1255.92,2024-05-11
1029,Product_1029,Toys,4621.59,2024-04-21
16,Product_16,Toys,4588.73,2024-04-22
632,Product_632,Clothing,2422.01,2024-04-27
137,Product_137,Electronics,4531.44,2024-01-03
939,Product_939,Food,4970.56,2024-08-12
1782,Product_1782,Electronics,520.22,2024-01-22
918,Product_918,Electronics,3640.74,2024-01-16
306,Product_306,Electronics,3867.06,2024-02-23
1858,Product_1858,Clothing,940.14,2024-03-29
1434,Product_1434,Electronics,1326.73,2024-02-14
54,Product_54,Furniture,4257.14,2024-07-16
224,Product_224,Clothing,278.67,2024-04-15
1973,Product_1973,Toys,3513.27,2024-01-29
427,Product_427,Electronics,3860.04,2024-03-04
1135,Product_1135,Clothing,4536.64,2024-02-24
507,Product_507,Toys,429.22,2024-06-24
987,Product_987,Furniture,2681.7,2024-07-20
30,Product_30,Electronics,2557.68,2024-02-10
1635,Product_1635,Furniture,473.88,2024-01-14
985,Product_985,Furniture,3781.05,2024-05-18
1101,Product_1101,Toys,4357.78,2024-07-23
866,Product_866,Electronics,4452.14,2024-06-18
1545,Product_1545,Food,1037.86,2024-07-14
1251,Product_1251,Food,2917.5,2024-01-07
63,Product_63,Toys,4715.41,2024-06-02
618,Product_618,Food,3676.26,2024-07-01
1018,Product_1018,Clothing,4597.78,2024-01-29
1580,Product_1580,Furniture,643.72,2024-03-31
1462,Product_1462,Clothing,1883.84,2024-06-25
1849,Product_1849,Furniture,4548.67,2024-06-08
1393,Product_1393,Food,2208.25,2024-01-08
1481,Product_1481,Clothing,4180.86,2024-08-14
168,Product_168,Toys,160.28,2024-06-17
1530,Product_1530,Electronics,1534.08,2024-06-12
772,Product_772,Clothing,3746.13,2024-04-10
1901,Product_1901,Toys,2318.06,2024-04-16
1353,Product_1353,Clothing,3182.17,2024-06-29
201,Product_201,Electronics,1306.37,2024-07-09
1671,Product_1671,Food,4779.46,2024-05-19
1876,Product_1876,Clothing,3291.32,2024-04-01
201,Product_201,Electronics,908.68,2024-03-17
1338,Product_1338,Electronics,3155.87,2024-06-11
238,Product_238,Food,684.38,2024-04-01
1177,Product_1177,Food,1784.95,2024-06-30
613,Product_613,Electronics,1715.31,2024-02-23
1008,Product_1008,Electronics,3659.02,2024-06-16
424,Product_424,Toys,3532.83,2024-04-04
1006,Product_1006,Food,2158.75,2024-06-26
1275,Product_1275,Furniture,3840.08,2024-02-17
174,Product_174,Furniture,1067.08,2024-03-10
233,Product_233,Food,1047.31,2024-03-06
1948,Product_1948,Furniture,2295.65,2024-03-29
1366,Product_1366,Food,3344.99,2024-06-27
335,Product_335,Toys,3133.62,2024-05-07
1207,Product_1207,Furniture,1463.84,2024-02-22
148,Product_148,Clothing,4708.82,2024-07-19
8,Product_8,Clothing,2243.97,2024-07-23
760,Product_760,Food,1025.08,2024-07-25
1403,Product_1403,Electronics,2086.62,2024-06-16
1958,Product_1958,Furniture,863.89,2024-05-06
1992,Product_1992,Furniture,3278.82,2024-07-04
3,Product_3,Furniture,3575.36,2024-03-04
312,Product_312,Food,489.05,2024-06-23
370,Product_370,Food,1564.24,2024-06-09
753,Product_753,Toys,2039.65,2024-03-04
1373,Product_1373,Toys,3970.23,2024-06-02
1936,Product_1936,Toys,2481.94,2024-02-12
1904,Product_1904,Electronics,1978.82,2024-01-18
1908,Product_1908,Toys,3474.89,2024-04-03
822,Product_822,Toys,4802.71,2024-07-25
1061,Product_1061,Furniture,3756.82,2024-02-22
845,Product_845,Clothing,4885.23,2024-03-17
1200,Product_1200,Electronics,3540.43,2024-05-16
1370,Product_1370,Clothing,2681.06,2024-03-26
1290,Product_1290,Electronics,3100.17,2024-02-20
1381,Product_1381,Toys,3942.38,2024-06-09
97,Product_97,Furniture,195.63,2024-03-23
1631,Product_1631,Clothing,468.57,2024-06-10
